Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	746.833	656.167	0	32.7	0	0	NA	NA	NA	NA	NA
2	1	2	746.167	656.167	0	44.3	0.667	0.667	NA	0.667	NA	180	NA
3	1	3	746.167	656.167	0	28.7	0.667	0.667	NA	0	NA	0	-180
4	1	4	746.167	654.833	0	45.4	2	1.491	NA	1.333	NA	-90	-90
5	1	5	746.5	656.833	0	40.7	4.028	0.745	NA	2.028	NA	80.538	170.538
6	1	6	745.5	655.5	0	33.7	5.694	1.491	NA	1.667	NA	-126.87	152.592
7	1	7	745.5	655.5	0	30.3	5.694	1.491	NA	0	NA	0	126.87
8	1	8	744.833	654.5	0	38.5	6.896	2.603	NA	1.202	NA	-123.69	-123.69
9	1	9	745.167	654.833	0	38.3	7.368	2.134	NA	0.471	NA	45	168.69
10	1	10	745.167	655.167	0	35.9	7.701	1.944	NA	0.333	NA	90	45
11	1	11	744.833	656.833	0	45.5	9.401	2.108	NA	1.7	NA	101.31	11.31
12	1	12	744.833	656.5	0	51.3	9.734	2.028	NA	0.333	NA	-90	168.69
13	1	13	744.833	655.5	0	32.4	10.734	2.108	NA	1	NA	-90	0
14	1	14	743.833	654.833	0	25.7	11.936	3.283	NA	1.202	NA	-146.31	-56.31
15	1	15	742.833	654.5	0	39.4	12.99	4.333	NA	1.054	NA	-161.565	-15.255
16	1	16	742.833	654.5	0	33.7	12.99	4.333	NA	0	NA	0	161.565
17	1	17	742.833	654.5	0	40.7	12.99	4.333	NA	0	NA	0	0
18	1	18	744.167	653.167	0	59.4	14.875	4.014	NA	1.886	NA	-45	-45
19	1	19	744.167	653.167	0	60.5	14.875	4.014	NA	0	NA	0	45
20	1	20	743.5	653.833	0	53.7	15.818	4.069	NA	0.943	NA	135	135
21	1	21	741.833	654.5	0	30.5	17.613	5.27	NA	1.795	NA	158.199	23.199
22	1	22	740.833	655.5	0	33	19.027	6.037	NA	1.414	NA	135	-23.199
23	1	23	741.5	655.5	0	38.3	19.694	5.375	NA	0.667	NA	0	-135
24	1	24	742.833	653.167	0	51.1	22.382	5	NA	2.687	NA	-60.255	-60.255
25	1	25	742.833	653.167	0	49.1	22.382	5	NA	0	NA	0	60.255
26	1	26	741.833	654.167	0	30.5	23.796	5.385	NA	1.414	NA	135	135
27	1	27	741.167	656.167	0	43	25.904	5.667	NA	2.108	NA	108.435	-26.565
28	1	28	741.5	654.167	0	26.9	27.932	5.696	NA	2.028	NA	-80.538	171.027
29	1	29	741.833	653.833	0	26.9	28.403	5.518	NA	0.471	NA	-45	35.538
30	1	30	741.833	653.833	0	38.5	28.403	5.518	NA	0	NA	0	45
31	1	31	740.167	653.833	0	44.3	30.07	7.063	NA	1.667	NA	180	180
32	1	32	739.167	653.5	0	42.3	31.124	8.117	NA	1.054	NA	-161.565	18.435
33	1	33	737.833	653.5	0	50.3	32.457	9.387	NA	1.333	NA	180	-18.435
34	1	34	737.167	652.167	0	30.1	33.948	10.462	NA	1.491	NA	-116.565	63.435
35	1	35	737.833	650.5	0	67.4	35.743	10.635	NA	1.795	NA	-68.199	48.366
36	1	36	737.833	650.167	0	45.1	36.076	10.817	NA	0.333	NA	-90	-21.801
37	1	37	737.167	649.5	0	72.3	37.019	11.743	NA	0.943	NA	-135	-45
38	1	38	736.5	649.5	0	64.3	37.686	12.297	NA	0.667	NA	180	-45
39	1	39	736.167	649.833	0	38.8	38.157	12.405	NA	0.471	NA	135	-45
40	1	40	737.833	648.833	0	58.1	40.101	11.609	NA	1.944	NA	-30.964	-165.964
41	1	41	742.167	651.167	0	18.5	45.022	6.839	NA	4.922	NA	28.301	59.265
42	1	42	742.167	651.167	0	0.6	45.022	6.839	NA	0	NA	0	-28.301
43	1	43	743.167	654.5	0	35.1	48.502	4.028	NA	3.48	NA	73.301	73.301
44	1	44	742.167	654.833	0	3.4	49.556	4.853	NA	1.054	NA	161.565	88.264
45	1	45	740.167	656.833	0	41.5	52.385	6.7	NA	2.828	NA	135	-26.565
46	1	46	739.5	659.833	0	8.3	55.458	8.199	NA	3.073	NA	102.529	-32.471
47	1	47	745.167	660.5	0	33.5	61.164	4.643	NA	5.706	NA	6.71	-95.819
48	1	48	744.833	662.833	0	9.4	63.521	6.96	NA	2.357	NA	98.13	91.42
49	1	49	743.833	664.167	0	12.5	65.188	8.544	NA	1.667	NA	126.87	28.74
50	1	50	743.5	666.5	0	67.4	67.545	10.858	NA	2.357	NA	98.13	-28.74
51	1	51	743.5	666.5	0	3.4	67.545	10.858	NA	0	NA	0	-98.13
52	1	52	742.5	667.167	0	58.1	68.746	11.823	NA	1.202	NA	146.31	146.31
53	1	53	744.5	667.833	0	61.5	70.855	11.898	NA	2.108	NA	18.435	-127.875
54	1	54	747.167	669.5	0	8.3	73.999	13.337	NA	3.145	NA	32.005	13.57
55	1	55	751.167	669.5	0	31.4	77.999	14.02	NA	4	NA	0	-32.005
56	1	56	756.167	668.167	0	15.1	83.174	15.202	NA	5.175	NA	-14.931	-14.931
57	1	57	757.167	670.833	0	20.1	86.022	17.941	NA	2.848	NA	69.444	84.375
58	1	58	758.5	670.833	0	21.1	87.355	18.741	NA	1.333	NA	0	-69.444
59	1	59	759.167	672.5	0	52.5	89.15	20.467	NA	1.795	NA	68.199	68.199
60	1	60	762.167	673.833	0	50.2	92.433	23.393	NA	3.283	NA	23.962	-44.236
61	1	61	765.167	673.833	0	45.5	95.433	25.46	NA	3	NA	0	-23.962
62	1	62	768.5	675.833	0	47.9	99.321	29.261	NA	3.887	NA	30.964	30.964
63	1	63	771.833	678.167	0	48.7	103.389	33.302	NA	4.069	NA	34.992	4.028
64	1	64	774.167	675.833	0	53.4	106.689	33.673	NA	3.3	NA	-45	-79.992
65	1	65	775.833	678.5	0	26.7	109.834	36.603	NA	3.145	NA	57.995	102.995
66	1	66	774.5	679.5	0	32.7	111.501	36.192	NA	1.667	NA	143.13	85.135
67	1	67	773.5	680.5	0	30.3	112.915	36.1	NA	1.414	NA	135	-8.13
68	1	68	771.5	683.167	0	9.4	116.248	36.571	NA	3.333	NA	126.87	-8.13
69	1	69	767.833	681.833	0	46.5	120.15	33.163	NA	3.902	NA	-160.017	73.113
70	1	70	761.833	679.5	0	28.4	126.587	27.739	NA	6.438	NA	-158.749	1.267
71	1	71	759.833	681.167	0	43	129.191	28.178	NA	2.603	NA	140.194	-61.056
72	1	72	757.833	682.5	0	47.7	131.595	28.538	NA	2.404	NA	146.31	6.116
73	1	73	755.167	683.167	0	45.4	134.343	28.257	NA	2.749	NA	165.964	19.654
74	1	74	752.833	684.167	0	51.4	136.882	28.636	NA	2.539	NA	156.801	-9.162
75	1	75	750.167	685.167	0	21.4	139.73	29.191	NA	2.848	NA	159.444	2.643
76	1	76	748.167	684.167	0	14.4	141.966	28.032	NA	2.236	NA	-153.435	47.121
77	1	77	750.5	682.833	0	32.5	144.653	26.918	NA	2.687	NA	-29.745	123.69
78	1	78	756.833	683.833	0	51.4	151.065	29.418	NA	6.412	NA	8.973	38.718
79	1	79	761.167	685.167	0	26.5	155.599	32.349	NA	4.534	NA	17.103	8.13
80	1	80	764.167	687.167	0	25.5	159.205	35.517	NA	3.606	NA	33.69	16.587
81	1	81	764.833	690.5	0	39.7	162.604	38.766	NA	3.399	NA	78.69	45
82	1	82	763.167	692.833	0	44.3	165.471	40.14	NA	2.867	NA	125.538	46.848
83	1	83	757.833	695.833	0	28.7	171.591	41.164	NA	6.119	NA	150.642	25.105
84	1	84	747.167	700.5	0	66.4	183.233	44.335	NA	11.643	NA	156.371	5.728
85	1	85	745.833	702.167	0	32.7	185.368	46.011	NA	2.134	NA	128.66	-27.711
86	1	86	748.167	706.833	0	25.7	190.585	50.684	NA	5.217	NA	63.435	-65.225
87	1	87	750.167	710.167	0	32.7	194.473	54.103	NA	3.887	NA	59.036	-4.399
88	1	88	760.833	716.5	0	18.7	206.878	61.936	NA	12.405	NA	30.7	-28.337
89	1	89	765.833	718.833	0	43.2	212.395	65.484	NA	5.518	NA	25.017	-5.683
90	1	90	772.167	721.5	0	31.2	219.267	70.073	NA	6.872	NA	22.834	-2.183
91	1	91	777.5	724.5	0	23.1	225.386	74.899	NA	6.119	NA	29.358	6.524
92	1	92	780.5	728.833	0	26.9	230.657	80.087	NA	5.27	NA	55.305	25.947
93	1	93	779.167	730.833	0	28.9	233.061	81.367	NA	2.404	NA	123.69	68.385
94	1	94	781.833	730.167	0	31.2	235.809	81.86	NA	2.749	NA	-14.036	-137.726
95	1	95	786.167	729.167	0	33.5	240.257	82.922	NA	4.447	NA	-12.995	1.042
96	1	96	793.5	730.167	0	38.4	247.658	87.486	NA	7.401	NA	7.765	20.76
97	1	97	799.5	731.5	0	24.4	253.804	91.918	NA	6.146	NA	12.529	4.764
98	1	98	803.167	731.5	0	31.4	257.471	94.067	NA	3.667	NA	0	-12.529
99	1	99	804.833	733.167	0	33.5	259.828	96.4	NA	2.357	NA	45	45
100	1	100	803.167	733.167	0	15.4	261.494	95.407	NA	1.667	NA	180	135
101	1	101	789.167	734.167	0	35.8	275.53	88.747	NA	14.036	NA	175.914	-4.086
102	1	102	772.5	737.167	0	17.3	292.465	84.969	NA	16.935	NA	169.796	-6.118
