Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	? [deg]	?? [deg]
1	1	1	728.5	672.167	0	25.3	0	0	NA	NA	NA	NA	NA
2	1	2	730.167	672.5	0	30.5	1.7	1.7	NA	1.7	NA	11.31	NA
3	1	3	732.167	670.5	0	34	4.528	4.028	NA	2.828	NA	-45	-56.31
4	1	4	735.167	673.167	0	10.6	8.542	6.741	NA	4.014	NA	41.634	86.634
5	1	5	733.167	672.833	0	16	10.57	4.714	NA	2.028	NA	-170.538	147.829
6	1	6	732.833	671.5	0	31.6	11.944	4.384	NA	1.374	NA	-104.036	66.501
7	1	7	733.833	669.167	0	11.7	14.483	6.119	NA	2.539	NA	-66.801	37.235
8	1	8	732.833	670.5	0	33	16.149	4.643	NA	1.667	NA	126.87	-166.329
9	1	9	732.5	670.833	0	36	16.621	4.216	NA	0.471	NA	135	8.13
10	1	10	732.5	670.5	0	29	16.954	4.333	NA	0.333	NA	-90	135
11	1	11	732.833	668.167	0	3.9	19.311	5.897	NA	2.357	NA	-81.87	8.13
12	1	12	731.5	669.5	0	17.6	21.197	4.014	NA	1.886	NA	135	-143.13
13	1	13	730.833	668.167	0	43.1	22.687	4.631	NA	1.491	NA	-116.565	108.435
14	1	14	732.5	669.5	0	26	24.822	4.807	NA	2.134	NA	38.66	155.225
15	1	15	733.833	670.167	0	30.2	26.312	5.696	NA	1.491	NA	26.565	-12.095
16	1	16	732.5	670.167	0	31.6	27.646	4.472	NA	1.333	NA	180	153.435
17	1	17	732.167	668.167	0	31.4	29.673	5.426	NA	2.028	NA	-99.462	80.538
18	1	18	731.167	667.833	0	26.9	30.727	5.088	NA	1.054	NA	-161.565	-62.103
19	1	19	730.167	668.167	0	26.7	31.781	4.333	NA	1.054	NA	161.565	-36.87
20	1	20	732.167	665.5	0	41.1	35.115	7.608	NA	3.333	NA	-53.13	145.305
21	1	21	734.833	665.5	0	2.4	37.781	9.195	NA	2.667	NA	0	53.13
22	1	22	736.5	669.5	0	123.6	42.115	8.433	NA	4.333	NA	67.38	67.38
23	1	23	734.833	666.5	0	26.8	45.547	8.498	NA	3.432	NA	-119.055	173.565
24	1	24	734.5	664.167	0	2.4	47.904	10	NA	2.357	NA	-98.13	20.925
25	1	25	733.167	665.167	0	38.6	49.57	8.413	NA	1.667	NA	143.13	-118.74
26	1	26	732.167	665.5	0	25.9	50.624	7.608	NA	1.054	NA	161.565	18.435
27	1	27	733.167	664.167	0	47.8	52.291	9.262	NA	1.667	NA	-53.13	145.305
28	1	28	734.167	663.167	0	32.7	53.705	10.635	NA	1.414	NA	-45	8.13
29	1	29	736.5	664.167	0	3.9	56.244	11.314	NA	2.539	NA	23.199	68.199
30	1	30	737.833	662.5	0	3.9	58.378	13.437	NA	2.134	NA	-51.34	-74.539
31	1	31	736.167	661.5	0	22	60.322	13.136	NA	1.944	NA	-149.036	-97.696
32	1	32	733.833	660.833	0	36	62.749	12.526	NA	2.427	NA	-164.055	-15.018
33	1	33	733.5	661.833	0	27	63.803	11.479	NA	1.054	NA	108.435	-87.51
34	1	34	734.5	659.833	0	38.6	66.039	13.715	NA	2.236	NA	-63.435	-171.87
35	1	35	736.167	660.833	0	24.3	67.982	13.683	NA	1.944	NA	30.964	94.399
36	1	36	736.5	657.5	0	2.4	71.332	16.707	NA	3.35	NA	-84.289	-115.253
37	1	37	735.833	655.833	0	4.8	73.127	17.904	NA	1.795	NA	-111.801	-27.512
38	1	38	736.5	655.833	0	16.2	73.794	18.187	NA	0.667	NA	0	111.801
39	1	39	738.833	657.167	0	20.2	76.482	18.215	NA	2.687	NA	29.745	29.745
40	1	40	740.167	656.5	0	9.7	77.972	19.533	NA	1.491	NA	-26.565	-56.31
41	1	41	739.833	655.5	0	19.8	79.026	20.155	NA	1.054	NA	-108.435	-81.87
42	1	42	737.5	654.167	0	40.5	81.714	20.125	NA	2.687	NA	-150.255	-41.82
43	1	43	735.5	653.5	0	38.4	83.822	19.936	NA	2.108	NA	-161.565	-11.31
44	1	44	734.5	654.833	0	25.9	85.489	18.342	NA	1.667	NA	126.87	-71.565
45	1	45	734.5	654.5	0	29.2	85.822	18.658	NA	0.333	NA	-90	143.13
46	1	46	735.833	652.5	0	50.1	88.226	20.989	NA	2.404	NA	-56.31	33.69
47	1	47	740.833	654.167	0	2.4	93.496	21.82	NA	5.27	NA	18.435	74.745
48	1	48	742.833	656.833	0	15	96.829	20.989	NA	3.333	NA	53.13	34.695
49	1	49	743.5	658.5	0	97.7	98.625	20.292	NA	1.795	NA	68.199	15.068
50	1	50	744.833	656.167	0	23.6	101.312	22.864	NA	2.687	NA	-60.255	-128.454
51	1	51	746.167	653.5	0	33.9	104.293	25.701	NA	2.981	NA	-63.435	-3.18
52	1	52	748.167	654.167	0	40.9	106.402	26.66	NA	2.108	NA	18.435	81.87
53	1	53	750.5	655.833	0	19	109.269	27.4	NA	2.867	NA	35.538	17.103
54	1	54	753.5	657.167	0	25.6	112.552	29.155	NA	3.283	NA	23.962	-11.575
55	1	55	749.833	661.167	0	58.4	117.978	24.002	NA	5.426	NA	132.51	108.548
56	1	56	745.167	658.5	0	11.9	123.353	21.554	NA	5.375	NA	-150.255	77.234
57	1	57	742.167	661.167	0	23.2	127.367	17.544	NA	4.014	NA	138.366	-71.378
58	1	58	736.5	661.833	0	9.9	133.073	13.068	NA	5.706	NA	173.29	34.924
59	1	59	736.167	662.167	0	21.3	133.544	12.601	NA	0.471	NA	135	-38.29
60	1	60	738.167	661.5	0	36.3	135.652	14.395	NA	2.108	NA	-18.435	-153.435
61	1	61	743.167	662.833	0	4.6	140.827	17.385	NA	5.175	NA	14.931	33.366
62	1	62	742.5	665.167	0	15.2	143.254	15.652	NA	2.427	NA	105.945	91.014
63	1	63	740.833	665.833	0	3.9	145.049	13.864	NA	1.795	NA	158.199	52.253
64	1	64	745.833	667.167	0	37.3	150.223	18.04	NA	5.175	NA	14.931	-143.267
65	1	65	747.167	665.833	0	24.6	152.109	19.712	NA	1.886	NA	-45	-59.931
66	1	66	750.167	663.5	0	30.2	155.91	23.336	NA	3.801	NA	-37.875	7.125
67	1	67	754.167	662.167	0	38.5	160.126	27.546	NA	4.216	NA	-18.435	19.44
68	1	68	759.167	663.167	0	19.6	165.225	31.96	NA	5.099	NA	11.31	29.745
69	1	69	760.167	664.5	0	17.2	166.892	32.582	NA	1.667	NA	53.13	41.82
70	1	70	762.167	663.833	0	40	169	34.683	NA	2.108	NA	-18.435	-71.565
71	1	71	763.833	662.167	0	22.2	171.357	36.721	NA	2.357	NA	-45	-26.565
72	1	72	763.5	659.5	0	53.6	174.044	37.222	NA	2.687	NA	-97.125	-52.125
73	1	73	768.5	661.167	0	24.5	179.315	41.485	NA	5.27	NA	18.435	115.56
74	1	74	770.833	658.5	0	38.5	182.858	44.485	NA	3.543	NA	-48.814	-67.249
75	1	75	770.5	655.167	0	15.3	186.208	45.31	NA	3.35	NA	-95.711	-46.897
76	1	76	774.167	656.167	0	44.3	190.009	48.388	NA	3.801	NA	15.255	110.966
77	1	77	775.5	656.5	0	24.2	191.383	49.542	NA	1.374	NA	14.036	-1.219
78	1	78	771.833	658.833	0	9.6	195.729	45.338	NA	4.346	NA	147.529	133.493
79	1	79	765.167	655.833	0	42	203.04	40.14	NA	7.311	NA	-155.772	56.699
80	1	80	758.833	654.5	0	24.5	209.512	35.103	NA	6.472	NA	-168.111	-12.339
81	1	81	758.5	651.167	0	9.1	212.862	36.62	NA	3.35	NA	-95.711	72.401
82	1	82	768.167	651.5	0	3.6	222.534	44.728	NA	9.672	NA	1.975	97.686
83	1	83	764.5	650.5	0	24	226.335	42.017	NA	3.801	NA	-164.745	-166.72
84	1	84	768.5	652.833	0	43.9	230.966	44.427	NA	4.631	NA	30.256	-164.999
85	1	85	773.5	650.833	0	40.9	236.351	49.801	NA	5.385	NA	-21.801	-52.058
86	1	86	776.833	651.5	0	46.6	239.75	52.566	NA	3.399	NA	11.31	33.111
87	1	87	783.833	650.5	0	31.2	246.821	59.424	NA	7.071	NA	-8.13	-19.44
88	1	88	788.5	652.5	0	36.3	251.899	63.141	NA	5.077	NA	23.199	31.329
89	1	89	793.5	648.833	0	10.2	258.099	69.061	NA	6.2	NA	-36.254	-59.452
90	1	90	793.167	653.833	0	11.6	263.11	67.215	NA	5.011	NA	93.814	130.068
91	1	91	785.167	650.167	0	76.7	271.91	60.787	NA	8.8	NA	-155.376	110.809
92	1	92	776.5	657.167	0	30	283.051	50.289	NA	11.141	NA	141.072	-63.551
93	1	93	766.5	659.5	0	74.6	293.319	40.056	NA	10.269	NA	166.866	25.794
94	1	94	758.5	657.5	0	176.3	301.566	33.393	NA	8.246	NA	-165.964	27.17
95	1	95	763.5	657.167	0	42.1	306.577	38.079	NA	5.011	NA	-3.814	162.15
96	1	96	773.5	660.167	0	26.7	317.017	46.573	NA	10.44	NA	16.699	20.513
97	1	97	776.833	667.5	0	179.2	325.072	48.558	NA	8.055	NA	65.556	48.857
98	1	98	774.5	664.5	0	82.6	328.873	46.635	NA	3.801	NA	-127.875	166.569
99	1	99	778.5	666.833	0	43.9	333.504	50.284	NA	4.631	NA	30.256	158.131
100	1	100	781.5	668.167	0	70.9	336.787	53.151	NA	3.283	NA	23.962	-6.294
101	1	101	786.5	669.5	0	37.1	341.961	58.061	NA	5.175	NA	14.931	-9.031
102	1	102	795.833	672.167	0	181.6	351.668	67.333	NA	9.707	NA	15.945	1.014
103	1	103	794.167	673.167	0	15.9	353.612	65.674	NA	1.944	NA	149.036	133.091
104	1	104	793.833	667.5	0	57.2	359.288	65.5	NA	5.676	NA	-93.366	117.597
105	1	105	795.167	674.5	0	17.5	366.414	66.707	NA	7.126	NA	79.216	172.582
106	1	106	799.833	675.833	0	39.6	371.268	71.428	NA	4.853	NA	15.945	-63.27
107	1	107	802.167	672.167	0	22.2	375.614	73.667	NA	4.346	NA	-57.529	-73.474
108	1	108	802.167	668.5	0	102.4	379.28	73.758	NA	3.667	NA	-90	-32.471
109	1	109	809.167	670.167	0	25.5	386.476	80.691	NA	7.196	NA	13.392	103.392
110	1	110	814.5	668.833	0	33.5	391.974	86.065	NA	5.497	NA	-14.036	-27.429
111	1	111	819.5	671.5	0	32.9	397.64	91.002	NA	5.667	NA	28.072	42.109
112	1	112	815.5	674.167	0	39.9	402.448	87.023	NA	4.807	NA	146.31	118.237
113	1	113	803.833	674.5	0	21.9	414.119	75.369	NA	11.671	NA	178.363	32.053
114	1	114	792.167	670.833	0	207.4	426.348	63.681	NA	12.229	NA	-162.553	19.084
115	1	115	794.5	668.5	0	34.9	429.648	66.102	NA	3.3	NA	-45	117.553
116	1	116	798.167	668.5	0	90.7	433.315	69.763	NA	3.667	NA	0	45
117	1	117	804.167	664.5	0	95.5	440.526	76.054	NA	7.211	NA	-33.69	-33.69
118	1	118	811.167	669.167	0	14.9	448.939	82.721	NA	8.413	NA	33.69	67.38
119	1	119	813.5	674.167	0	60.8	454.457	85.024	NA	5.518	NA	64.983	31.293
120	1	120	820.167	675.5	0	32.7	461.255	91.727	NA	6.799	NA	11.31	-53.673
121	1	121	836.167	675.167	0	66.3	477.259	107.708	NA	16.003	NA	-1.193	-12.503
122	1	122	839.5	676.5	0	26.7	480.849	111.085	NA	3.59	NA	21.801	22.995
123	1	123	844.167	681.167	0	86.3	487.448	116.016	NA	6.6	NA	45	23.199
124	1	124	839.167	683.833	0	31.5	493.115	111.28	NA	5.667	NA	151.928	106.928
125	1	125	834.167	687.833	0	52.5	499.518	106.822	NA	6.403	NA	141.34	-10.587
126	1	126	823.833	688.167	0	53.9	509.857	96.667	NA	10.339	NA	178.152	36.812
127	1	127	812.167	694.833	0	31.3	523.294	86.683	NA	13.437	NA	150.255	-27.897
128	1	128	807.167	698.833	0	139.9	529.697	83.064	NA	6.403	NA	141.34	-8.915
129	1	129	813.5	700.167	0	20	536.169	89.493	NA	6.472	NA	11.889	-129.452
130	1	130	822.833	700.167	0	38.5	545.503	98.401	NA	9.333	NA	0	-11.889
131	1	131	828.5	704.833	0	22.1	552.844	105.2	NA	7.341	NA	39.472	39.472
132	1	132	830.167	712.5	0	47.7	560.689	109.375	NA	7.846	NA	77.735	38.263
133	1	133	828.833	715.167	0	40.7	563.671	109.159	NA	2.981	NA	116.565	38.83
134	1	134	836.833	717.833	0	70.8	572.103	117.565	NA	8.433	NA	18.435	-98.13
135	1	135	848.833	720.167	0	46.6	584.328	129.554	NA	12.225	NA	11.004	-7.431
136	1	136	847	719.5	0	114.1	586.279	127.604	NA	1.951	NA	-160.017	-171.02
137	1	137	857.5	717	0	78.3	597.073	136.569	NA	10.794	NA	-13.392	146.624
138	1	138	868	732	0	202.7	615.382	151.79	NA	18.31	NA	55.008	68.4
139	1	139	867.5	725.5	0	86.4	621.902	148.881	NA	6.519	NA	-94.399	-149.407
140	1	140	874.5	719.5	0	148	631.121	153.481	NA	9.22	NA	-40.601	53.797
141	1	141	876.5	731.5	0	57.2	643.287	159.45	NA	12.166	NA	80.538	121.139
142	1	142	880.5	734	0	62.9	648.004	164.096	NA	4.717	NA	32.005	-48.532
143	1	143	895	729	0	137.6	663.342	175.933	NA	15.338	NA	-19.026	-51.031
144	1	144	894	734	0	36.9	668.441	176.674	NA	5.099	NA	101.31	120.336
145	1	145	900.5	736.5	0	37.2	675.405	183.638	NA	6.964	NA	21.038	-80.272
146	1	146	892	736	0	40.9	683.919	175.519	NA	8.515	NA	-176.634	162.329
147	1	147	877.5	736.5	0	43.9	698.428	162.295	NA	14.509	NA	178.025	-5.341
148	1	148	872	741	0	64.9	705.534	159.155	NA	7.106	NA	140.711	-37.314
149	1	149	868.5	741	0	22.9	709.034	156.006	NA	3.5	NA	180	39.289
150	1	150	882.5	747.5	0	33.9	724.47	171.438	NA	15.435	NA	24.905	-155.095
151	1	151	887	740	0	85.9	733.216	172.405	NA	8.746	NA	-59.036	-83.941
152	1	152	894.5	743	0	59.4	741.294	180.481	NA	8.078	NA	21.801	80.838
153	1	153	914	748.5	0	52.6	761.555	200.592	NA	20.261	NA	15.751	-6.05
154	1	154	925	750.5	0	57.1	772.735	211.538	NA	11.18	NA	10.305	-5.446
155	1	155	938	755	0	35.7	786.492	225.281	NA	13.757	NA	19.093	8.789
156	1	156	954.5	759	0	66.4	803.47	242.107	NA	16.978	NA	13.627	-5.466
157	1	157	968.5	767.5	0	39.7	819.848	258.241	NA	16.378	NA	31.264	17.637
158	1	158	959	772.5	0	36.7	830.584	251.39	NA	10.735	NA	152.241	120.978
159	1	159	947.5	778	0	50.9	843.331	243.232	NA	12.748	NA	154.44	2.199
160	1	160	933	784.5	0	41.9	859.221	233.322	NA	15.89	NA	155.854	1.414
161	1	161	921.5	789.5	0	38.2	871.761	225.867	NA	12.54	NA	156.501	0.647
162	1	162	940	802	0	46.9	894.088	248.171	NA	22.327	NA	34.046	-122.455
163	1	163	954.5	802.5	0	41.9	908.597	260.888	NA	14.509	NA	1.975	-32.071
164	1	164	957	811.5	0	43.9	917.938	267.63	NA	9.341	NA	74.476	72.501
165	1	165	959	817	0	78.9	923.79	272.226	NA	5.852	NA	70.017	-4.459
166	1	166	965.5	828.5	0	35.9	937	283.917	NA	13.21	NA	60.524	-9.493
167	1	167	978	833	0	23.3	950.285	296.846	NA	13.285	NA	19.799	-40.725
